market,sector,symbol,symbol_name,description,link_website,one_report_link,last_updated_at
SET,ENERG,ACE,บริษัท แอ๊บโซลูท คลีน เอ็นเนอร์จี้ จำกัด (มหาชน),ประกอบธุรกิจหลักโดยการถือหุ้นในบริษัทอื่น (Holding Company) ที่ประกอบธุรกิจผลิตและจำหน่ายไฟฟ้าและไอน้ำและธุรกิจอื่นที่สนับสนุนหรือเกี่ยวเนื่องโดยมีบริษัท แอ๊ดวานซ์ คลีน เพาเวอร์ จำกัด (ACP) ซึ่งประกอบธุรกิจโรงไฟฟ้าชีวมวลเป็นบริษัทแกน,http://www.ace-energy.co.th/,https://weblink.set.or.th/dat/f56/1472ONE310320261609150010T.zip,2026-05-13T12:54:32
SET,AUTO,ACG,บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน),บริษัท ออโตคอร์ป โฮลดิ้ง จำกัด (มหาชน) (?บริษัท?) ประกอบธุรกิจโดยการถือหุ้นในบริษัทอื่น (Holding company) ที่ประกอบธุรกิจจำหน่ายและให้บริการในอุตสาหกรรมรถยนต์ และธุรกิจที่เกี่ยวเนื่องอื่นๆ ปัจจุบัน บริษัทมีการลงทุนในบริษัทย่อย 2 แห่ง ดังนี้ 1. บริษัท ฮอนด้ามะลิวัลย์ จำกัด (?ฮอนด้ามะลิวัลย์?) เป็นบริษัทผู้จำหน่ายและศูนย์บริการรถยนต์ยี่ห้อฮอนด้า 2. บริษัท ออโตคลิกบายเอซีจี จำกัด (?ออโตคลิก?) ประกอบธุรกิจเป็นศูนย์บริการรถยนต์ทุกยี่ห้อประเภทเร่งด่วน (Fast Fit),http://www.autocorpgroup.com/,https://weblink.set.or.th/dat/f56/1474ONE310320262147230653T.zip,2026-05-13T12:54:34
mai,INDUS,ADB,บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน),"บริษัท แอ็พพลาย ดีบี จำกัด (มหาชน) ""ADB"" ประกอบธุรกิจผลิตเม็ดพลาสติกคอมปาวด์ จำหน่ายให้กับโรงงานอุตสาหกรรมเพื่อใช้เป็นวัตถุดิบในการผลิตสายไฟ สายเคเบิ้ล พื้นรองเท้า ขอบคิ้วเฟอร์นิเจอร์ และบริษัทร่วม บริษัท เอดีบี ซีแลนท์ จำกัด ""ADBS"" ประกอบธุรกิจผลิตและจำหน่ายผลิตภัณฑ์กาว จำหน่ายให้กับโรงงานอุตสาหกรรมรองเท้า เฟอร์นิเจอร์ งานก่อสร้างและกลุ่มยานยนต์ ภายใต้ตราสินค้าของบริษัท และรับจ้างผลิตให้กับตราสินค้าชั้นนำ และผลิตภัณฑ์ยาแนวและกาวขนาดเล็ก โดยมีรูปแบบบรรจุภัณฑ์ขนาดใหญ่สำหรับใช้ในงานอุตสาหกรรม (bulk) ชนิดหลอด (Cartridge) และบรรจุภัณฑ์ขนาดเล็กสำหรับใช้ในครัวเรือน โดยมีการจำหน่ายให้กับลูกค้าทั้งในและต่างประเทศ",http://www.adb.co.th/,https://weblink.set.or.th/dat/f56/1384E1N160320261322240611T.zip,2026-05-13T12:54:32
mai,SERVICE,ADD,บริษัท แอดเทค ฮับ จำกัด (มหาชน),ให้บริการดิจิทัลคอนเทนต์ และบริการดิจิทัลโซลูชัน,https://www.addtechhub.com/,https://weblink.set.or.th/dat/f56/1641E1N160320261802260720T.zip,2026-05-13T12:54:32
SET,ICT,ADVANC,บริษัท แอดวานซ์ อินโฟร์ เซอร์วิส จำกัด (มหาชน),ให้บริการสื่อสารโทรคมนาคม โดยรวมถึงธุรกิจให้บริการโทรศัพท์เคลื่อนที่ ธุรกิจอินเทอร์เน็ตความเร็วสูง และธุรกิจดิจิทัล เซอร์วิส,http://investor.ais.co.th/,https://weblink.set.or.th/dat/f56/0268E1N100320261940590803T.zip,2026-05-13T12:54:29
SET,COMM,ADVICE,บริษัท แอดไวซ์ ไอที อินฟินิท จำกัด (มหาชน),จำหน่ายปลีก-ส่งสินค้าไอที เช่น คอมพิวเตอร์ประกอบ (D.I.Y) คอมพิวเตอร์โน้ตบุ๊ค (Notebook) คอมพิวเตอร์เดสก์ท็อป (Desktop) และอุปกรณ์เสริมต่างๆ รวมถึงสินค้ากลุ่มสมาร์ทโฟนและเครื่องใช้ไฟฟ้าภายในบ้าน ผ่านช่องทางสาขาและช่องทางออนไลน์ และให้บริการหลังการขายที่เกี่ยวเนื่องแบบครบวงจร,http://www.advicepcl.co.th/,https://weblink.set.or.th/dat/f56/1841E1N230320260853250772T.zip,2026-05-13T12:54:34
SET,ENERG,AE,บริษัท ออลล์ เอ็นเนอร์ยี่ แอนด์ ยูทิลิตี้ จำกัด (มหาชน),กลุ่มบริษัทประกอบธุรกิจหลัก 3 ธุรกิจ ได้แก่ 1) กลุ่มธุรกิจสถานีบริการแก๊สและน้ำมัน 2) กลุ่มธุรกิจพลังงานทดแทน 3) กลุ่มธุรกิจสาธารณูปโภค,http://www.aeu.co.th/,https://weblink.set.or.th/dat/f56/0670ONE230320262120050414T.zip,2026-05-13T12:54:32
SET,FIN,AEONTS,บริษัท อิออน ธนสินทรัพย์ (ไทยแลนด์) จำกัด (มหาชน),สินเชื่อบัตรเครดิต สินเชื่อส่วนบุคคล และสินเชื่อเช่าซื้อ,http://www.aeon.co.th/,https://weblink.set.or.th/dat/f56/0664E1N260620251743270762T.zip,2026-05-13T12:54:31
mai,FINCIAL,AF,บริษัท ไอร่า แฟคตอริ่ง จำกัด (มหาชน),ให้บริการสินเชื่อทั้งระยะสั้นและระยะยาวสำหรับธุรกิจ เช่น สินเชื่อแฟคตอริ่ง (รับซื้อลดลูกหนี้การค้า) . สินเชื่อเพื่อการลงทุนในสินทรัพย์ถาวร และสินเชื่อเพื่อเสริมสภาพคล่องหมุนเวียนในธุรกิจ,http://www.airafactoring.co.th/,https://weblink.set.or.th/dat/f56/0787E1N160320261735280321T.zip,2026-05-13T12:54:49
SET,FASHION,AFC,บริษัท เอเซียไฟเบอร์ จำกัด (มหาชน),ผลิตและจำหน่ายผลิตภัณฑ์ไนล่อนทั้งชนิดเม็ดและเส้นใย เพื่อใช้เป็นวัตถุดิบในอุตสาหกรรมปั่นด้าย ทอผ้าและถักผ้า มีผลิตภัณฑ์และบริการหลัก 5 ประเภท 1. เม็ดไนล่อน (Nylon Chip) ใช้เป็นวัตถุดิบในอุตสาหกรรมสิ่งทอและแหอวน 2. เส้นใยสังเคราะห์ (Filament Yarn) ใช้ในการทอผ้า และผลิตด้ายยืด 3. เส้นด้ายยืด (Textured Yarn) ใช้ผลิตผ้าถักและถุงเท้า 4. ผ้าย้อมและตกแต่ง (Fabric) ทอขึ้นจากเส้นใยสังเคราะห์และผ่านการฟอกย้อมและแต่งสำเร็จ 5. การบริการย้อมและตกแต่งผ้า (Service) ให้บริการแก่โรงงานอื่น,http://www.asiafiber.com/,https://weblink.set.or.th/dat/f56/0011E1N030920251443100859T.zip,2026-05-13T12:54:43
SET,ENERG,AGE,บริษัท เอเชีย กรีน เอนเนอจี จำกัด (มหาชน),ประกอบธุรกิจเป็นผู้จัดจำหน่ายถ่านหินสะอาด เพื่อจำหน่ายทั้งในประเทศ และต่างประเทศให้กับกลุ่มโรงงานอุตสาหกรรมต่าง ๆ และประกอบธุรกิจโลจิสติกส์ ทั้งทางบกโดยรถบรรทุกและทางน้ำโดยเรือลำเลียง,http://www.age.co.th/,https://weblink.set.or.th/dat/f56/0990ONE310320261747570490T.zip,2026-05-13T12:54:45
SET,AUTO,AH,บริษัท อาปิโก ไฮเทค จำกัด (มหาชน),ดำเนินธุรกิจใน 3 ธุรกิจหลัก ได้แก่I. ธุรกิจการผลิตชิ้นส่วนยานยนต์ ได้แก่ ชิ้นส่วน โลหะขึ้นรูป (Metal Forming) โครงช่วงล่างรถกระบะและชิ้นส่วนโครงสร้าง (Chassis & Structural) ชิ้นส่วนพลาสติกในรถยนต์ (Plastics Parts) ถังน้ำมันพลาสติกและถังพักน้ำฉีดกระจก (Fuel Tank & Washer System) ชิ้นส่วนโลหะตีอัดขึ้นรูปและกลึงเจียผิว (Forging & Machining) ชิ้นส่วนหล่อขึ้นรูปโลหะและกลึงเจียผิว (Casting & Machining) และอุปกรณ์จับยึดและแม่พิมพ์ปั๊มโลหะ (Assembly Jigs & Stamping Dies) II. ธุรกิจตัวแทนจำหน่ายรถยนต์และศูนย์บริการ หลังการขายIII. ธุรกิจให้บริการด้านเทคโนโลยี (Internet of Thing (IoT) Connectivity and Mobility),http://www.aapico.com/,https://weblink.set.or.th/dat/f56/0688E1N260320261957000800T.zip,2026-05-13T12:54:41
SET,HELTH,AHC,บริษัท โรงพยาบาลเอกชล จำกัด (มหาชน),โรงพยาบาล,http://www.aikchol.com/,https://weblink.set.or.th/dat/f56/0281E1N240320261753420202T.zip,2026-05-13T12:54:43
SET,ENERG,AI,บริษัท เอเชียน อินซูเลเตอร์ จำกัด (มหาชน),ผลิตและจำหน่ายลูกถ้วยไฟฟ้า,http://www.asianinsulators.com/,https://weblink.set.or.th/dat/f56/0790E1N160320261608170568T.zip,2026-05-13T12:54:41
SET,ENERG,AIE,บริษัท เอไอ เอนเนอร์จี จำกัด (มหาชน),ผู้ผลิตน้ำมันไบโอดีเซล น้ำมันพืช กลีเซอรีนบริสุทธิ์ และผลิตภัณฑ์ผลพลอยได้ จากน้ำมันปาล์มดิบ,http://www.aienergy.co.th/,https://weblink.set.or.th/dat/f56/1167E1N270220261247070266T.zip,2026-05-13T12:54:44
SET,PF&REIT,AIMCG,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม คอมเมอร์เชียล โกรท,ลงทุนในสิทธิการเช่าและสิทธิการเช่าช่วงศูนย์การค้าคอมมูนิตี้มอลล์ 3 โครงการ ได้แก่ โครงการยูดี ทาวน์ โครงการ 72 คอร์ทยาร์ด และโครงการพอร์โต้ ชิโน่ และลงทุนในกรรมสิทธิ์ในห้องชุดซึ่งมีวัตถุประสงค์เพื่อการพาณิชย์ในโครงการ โนเบิล โซโล,http://www.aimcgreit.com/,https://weblink.set.or.th/dat/annual/1501ANN090420261754310586T.zip,2026-05-13T12:54:42
SET,PF&REIT,AIMIRT,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ เอไอเอ็ม อินดัสเทรียล โกรท,ลงทุนในกรรมสิทธิ์ สิทธิการเช่า และสิทธิการเช่าช่วงในที่ดิน อาคารคลังสินค้า อาคารคลังห้องเย็น และถังเก็บสารเคมีเหลว รวมถึงอสังหาริมทรัพย์อื่นใดที่เกี่ยวข้องกับอสังหาริมทรัพย์ที่กองทรัสต์เข้าลงทุน,http://www.aimirt.com/,https://weblink.set.or.th/dat/annual/1406ANN090420261734370315T.zip,2026-05-13T12:54:43
mai,FINCIAL,AIRA,บริษัท ไอร่า แคปปิตอล จำกัด (มหาชน),ประกอบธุรกิจประเภทโฮลดิ้ง ลงทุนในบริษัทอื่น นโยบายการลงทุนของบริษัทฯ จะลงทุนในกิจการที่เกี่ยวข้องกับธุรกิจทางด้านการเงินเป็นหลัก ทั้งในกิจการที่เป็นบริษัทจดทะเบียนและไม่ได้จดทะเบียนในตลาดหลักทรัพย์ ในสัดส่วนไม่น้อยกว่า 75 ของเงินลงทุน และนอกเหนือจากธุรกิจการเงิน บริษัทฯสามารถลงทุนในธุรกิจอื่นๆ ได้ เพื่อกระจายความเสี่ยง แต่ต้องสัดส่วนไม่เกินร้อยละ 25 ของจำนวนเงินลงทุนทั้งหมด การลงทุนของบริษัทฯ จะเป็นการลงทุนทั้งในระยะสั้นและระยะยาว โดยรับผลตอบแทนเป็นเงินปันผลและกำไรจากการจำหน่ายเงินลงทุนเมื่อได้รับผลตอบแทนในระดับที่เหมาะสม ปัจจุบัน บริษํทฯ มีบริษัทย่อย 10 บริษัท และ บริษัทร่วม 2 บริษัท,https://www.airacapital.co.th/,https://weblink.set.or.th/dat/f56/1180ONE200320261742380353T.zip,2026-05-13T12:54:59
SET,ICT,AIT,บริษัท แอ็ดวานซ์อินฟอร์เมชั่นเทคโนโลยี จำกัด (มหาชน),ผู้ออกแบบระบบเครือข่ายและระบบสื่อสารอย่างครบวงจร (System Integrator หรือ SI) ให้บริการในกลุ่มลูกค้าทั้งภาครัฐและเอกชน โดยมีลักษณะการขายเป็นแบบเบ็ดเสร็จ หรือ เทิร์นคีย์ (Turnkey) ตั้งแต่การให้คำปรึกษา การวางแผนงานโครงการ การออกแบบระบบ การดำเนินการ การติดตั้ง การฝึกอบรม และการซ่อมบำรุงรักษา,http://www.ait.co.th/,https://weblink.set.or.th/dat/f56/0712E1N120320261518530668T.zip,2026-05-13T12:54:54
SET,PKG,AJ,บริษัท เอ.เจ.พลาสท์ จำกัด (มหาชน),ผลิตและจำหน่ายแผ่นฟิล์ม ได้แก่ แผ่นฟิล์ม BOPP BOPET BOPA (Nylon) CPP และ METALLIZED ซึ่งใช้แปรรูปเป็นบรรจุภัณฑ์ชนิดอ่อน เช่น ซองบรรจุอาหาร สิ่งของ เป็นต้น รวมทั้งใช้เคลือบกระดาษ ผิวไม้เฟอร์นิเจอร์ ฉนวนป้องกันความร้อนภายในอาคาร,http://www.ajplast.co.th/,https://weblink.set.or.th/dat/f56/0214E1N200320262200560213T.zip,2026-05-13T12:54:57
SET,HOME,AJA,บริษัท เอเจ แอดวานซ์ เทคโนโลยี จำกัด (มหาชน),"บริษัทประกอบธุรกิจนำเข้าและจำหน่ายเครื่องใช้ไฟฟ้าภายใต้เครื่องหมายการค้า ""AJ"" โดยแบ่งประเภทผลิตภัณฑ์ออกเป็น 2 กลุ่ม คือ เครื่องใช้ไฟฟ้าประเภทภาพและเสียง (Audio and Visual: AV) และเครื่องใช้ไฟฟ้าในครัวเรือน (Home Appliance: AP)",http://www.ajthai.com/,https://weblink.set.or.th/dat/f56/1173ONE300320261836070169T.zip,2026-05-13T12:54:50
mai,SERVICE,AKP,บริษัท อัคคีปราการ จำกัด (มหาชน),"ได้รับสิทธิเข้าบริหารและประกอบการศูนย์บริหาร จัดการวัสดุเหลือใช้อุตสาหกรรม (เตาเผาขยะอุตสาหกรรม) บางปู จังหวัดสมุทรปราการ (""ศูนย์ฯ"") จากกรมโรงงานอุตสาหกรรม เป็นเวลา 20 ปีนับแต่วันลงนามในสัญญา คือ วันที่ 11 กุมภาพันธ์ 2551 และสิ้นสุดสัญญาวันที่ 10 กุมภาพันธ์ 2571 และมีสิทธิขอให้ต่ออายุสัญญาได้อีก 10 ปี โดยเป็นการ spin off มาจาก BWG",http://www.akkhie.com/,https://weblink.set.or.th/dat/f56/1111ONE300320262016180292T.zip,2026-05-13T12:54:52
SET,IMM,AKR,บริษัท เอกรัฐวิศวกรรม จำกัด (มหาชน),- ผลิตและจำหน่ายหม้อแปลงไฟฟ้าระบบจำหน่าย พร้อมให้บริการซ่อมบำรุงรักษา - รับออกแบบติดตั้งและก่อสร้างสถานีไฟฟ้าย่อย - ผลิตและจำหน่ายแผงเซลล์แสงอาทิตย์ และให้บริการออกแบบและติดตั้งระบบผลิตไฟฟ้าจากพลังงานแสงอาทิตย์,http://www.ekarat.co.th/,https://weblink.set.or.th/dat/f56/0914E1N310320261854320556T.zip,2026-05-13T12:54:52
SET,PROP,AKS,บริษัท เอเคเอส คอร์ปอเรชั่น จำกัด (มหาชน),พัฒนาและค้าอสังหาริมทรัพย์ ทั้งแนวราบและแนวสูง และบริการให้เช่าอสังหาริมทรัพย์,http://www.akscorporation.co.th/,https://weblink.set.or.th/dat/f56/0231ONE310320251852230693T.zip,2026-05-13T12:54:56
SET,IMM,ALLA,บริษัท ออลล่า จำกัด (มหาชน),เป็นผู้นำเข้า ผลิต จำหน่าย และติดตั้งอุปกรณ์ขนถ่ายวัสดุที่ใช้ในโรงงานอุตสาหกรรม ได้แก่ เครนและรอกไฟฟ้า (Crane and Hoist) สะพานปรับระดับและประตูอุตสาหกรรม (Dock Leveler and Industrial Door) ม่านริ้วพีวีซีและม่านตัดอากาศ (PVC Strip Curtain and Air Curtain) และระบบการจัดการคลังสินค้า (Warehouse Management Systems) รวมถึงผลิตภัณฑ์ที่เป็นมิตรต่อสิ่งแวดล้อม ได้แก่ ระบบโซลาเซลล์ (Solar Cell Systems) และสถานีชาร์จรถไฟฟ้า (EV Charging Station) สำหรับเพื่อใช้ในโรงงานอุตสาหกรรม คลังสินค้า หรือสถานประกอบการต่าง ๆ รวมถึงมีการให้บริการต่าง ๆ ได้แก่ บริการหลังการขาย เช่น งานซ่อม งานเปลี่ยนอะไหล่ งานบำรุงรักษาเชิงป้องกัน (Preventive Maintenance) และบริการศูนย์ฝึกอบรมการใช้เครน/ช่องโหลดสินค้า,http://www.alla.co.th/,https://weblink.set.or.th/dat/f56/1335ONE250320261238140709T.zip,2026-05-13T12:54:53
SET,PF&REIT,ALLY,ทรัสต์เพื่อการลงทุนในอสังหาริมทรัพย์และสิทธิการเช่าอสังหาริมทรัพย์ อัลไล,ลงทุนในอสังหาริมทรัพย์และสิทธิการเช่า/เช่าช่วงในศูนย์การค้า 15 โครงการ ได้แก่ 1. คริสตัล ดีไซน์ เซ็นเตอร์ 2. เดอะ คริสตัล เอกมัย-รามอินทรา 3. เดอะ คริสตัล เอสบี ราชพฤกษ์ 4. อมอรินี่ 5. แอมพาร์ค 6. เพลินนารี่ มอลล์ 7. สัมมากรเพลส รามคำแหง 8. สัมมากรเพลส รังสิต 9. สัมมากรเพลส ราชพฤกษ์ 10. เดอะ ซีน 11. กาดฝรั่ง วิลเลจ 12. เดอะ คริสตัล ชัยพฤกษ์ 13. เดอะ ไพร์ม หัวลำโพง 14.แฮปปี้ อเวนิว ดอนเมือง 15. ทีเท็น,http://www.allyreit.com/,https://weblink.set.or.th/dat/annual/1541ANN300420262157300443T.zip,2026-05-13T12:54:56
mai,RESOURC,ALPHAX,บริษัท อัลฟ่า ดิวิชั่นส์ จำกัด (มหาชน),1) ธุรกิจพลังงาน เป็นผู้ผลิตและจำหน่ายไฟฟ้าจากพลังงานหมุนเวียน2) ธุรกิจให้บริการสินเชื่อเช่าซื้อรถจักรยานยนต์ รถยนต์มือสอง ทองคำ เครื่องจักรกลการเกษตร และให้บริการสินเชื่อแก่รายย่อยแบบมีหลักประกันในสปป.ลาว,http://www.alphadivisions.com/,https://weblink.set.or.th/dat/f56/1168ONE260320261107470487T.zip,2026-05-13T12:55:11
SET,ICT,ALT,บริษัท เอแอลที เทเลคอม จำกัด (มหาชน),"ALT ประกอบธุรกิจโทรคมนาคมแบบครบวงจร แบ่งเป็น 3 กลุ่มธุรกิจ ได้แก่ 1. ธุรกิจให้บริการวางระบบและก่อสร้าง โครงสร้างพื้นฐานด้านดิจิทัลได้แก่ สร้างสถานีฐานโทรคมนาคม สถานีดาวเทียม (Satellite Ground Station) เคเบิลใต้น้ำ (Submarine Cable) และโครงข่ายใยแก้วนำแสง 2. ธุรกิจจำหน่ายสินค้าในกลุ่มโทรคมนาคมและพลังงานทดแทน ผลิตภัณฑ์หลัก ได้แก่ สายเคเบิลใยแก้วนำแสง Smart Meter และ สถานีฐานเคลื่อนที่ภาคพื้นดินและพื้นน้ำ (Communication Vehicles & Vessel) 3. ธุรกิจให้เช่าหรือให้บริการโครงสร้างพื้นฐานด้านดิจิทัลและพลังงานทดแทน ได้แก่ ให้เช่าโครงข่ายโทรคมนาคม ,บริการสถานีเคเบิลใต้น้ำ (Submarine Cable Station) บริหารจัดการโครงข่ายพลังงานอัจฉริยะ (Smart Energy Infrastructure) และ Private PPA (Private Power Purchase Agreement) เป็นต้น",http://alt.co.th/,https://weblink.set.or.th/dat/f56/1318E1N240320261953500056T.zip,2026-05-13T12:55:06
SET,PKG,ALUCON,บริษัท อลูคอน จำกัด (มหาชน),ผลิตและจำหน่ายบรรจุภัณฑ์อลูมิเนียมขึ้นรูป เช่น หลอดอลูมิเนียมชนิดนิ่มใช้สำหรับบรรจุผลิตภัณฑ์สีผม เวชภัณฑ์ ครีม กาว เป็นต้น ภาชนะสำหรับบรรจุเครื่องสำอาง น้ำหอม หลอดอลูมิเนียมชนิดแข็ง สำหรับบรรจุยาเม็ด ตัวปากกาเคมีเมจิ เหรียญอลูมิเนียม รวมทั้งงานประดิษฐ์ทางเทคนิคปั๊มขึ้นรูป,http://www.alucon.th.com/,https://weblink.set.or.th/dat/f56/0164ONE240320261524340178T.zip,2026-05-13T12:55:11
mai,SERVICE,AMA,บริษัท อาม่า มารีน จำกัด (มหาชน),1) บริษัทให้บริการขนส่งสินค้าเหลวทางเรือระหว่างประเทศ ได้แก่ ผลิตภัณฑ์น้ำมันปาล์มและน้ำมันพืชชนิดต่างๆ ไปยังประเทศในภูมิภาคเอเชียตะวันออกเฉียงใต้ และภูมิภาคเอเชียตะวันออก2) บริษัทย่อยให้บริการขนส่งสินค้าเหลวทางรถในประเทศ ได้แก่ น้ำมันเชื้อเพลิงและไบโอดีเซล B100 บริการขนส่งสินค้าปิโตรเคมีและแก๊ซ และบริการขนส่งสินค้าควบคุมอุณหภูมิ,http://www.amamarine.co.th/,https://weblink.set.or.th/dat/f56/1351E1N260320261036490488T.zip,2026-05-13T12:55:02
